Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Cote d'Ivoire,CIV,887.3854460515,832.6844214014,854.8364233817,818.2228302727,595.7925412358,763.6689247475,817.3361966671,766.333932786,801.8595646329,766.9336227069,648.8107640662,663.6413458731,718.4531130274,875.0860950688,929.8933839756,942.2163849301,962.9184427388,1078.541501987,1257.6755819286,1233.3048561242,1236.0851980687,1231.8678340517,1281.3828651673,1447.2228209817,1545.942249248
Cameroon,CMR,923.8812783216,1000.3265409014,890.5636811237,1027.5673529387,680.6371437294,626.9560402487,679.7651938664,668.9720819718,637.3608604414,675.9238648552,583.0948382393,589.2039194702,648.3996053858,791.1064753902,892.8987776606,915.0912876797,965.3686882781,1070.9546746196,1191.7095543673,1164.7172543709,1147.2423467852,1258.9246506685,1222.1921422044,1331.2000214439,1407.4034132223
"Congo, Rep.",COG,1172.7570716806,1112.1283639155,1166.3344631845,743.4105750148,667.6941418342,777.5775373765,908.72163223,808.2852124374,660.1673277345,776.3632945176,1035.5844624681,877.6263939758,927.2695885749,1049.3175951849,1362.1988328914,1737.6115464311,2144.8349428807,2259.2694131635,3094.1097195938,2428.260232581,2953.1850078768,3453.2212288565,3191.1642988109,3205.4577827894,3147.0721606121
Colombia,COL,1175.1493386873,1181.0815083482,1385.8664381663,1541.712336231,2218.7844738115,2470.6833826149,2553.5496184224,2759.9528824634,2509.1399080286,2164.4328764562,2472.1977758552,2395.856522194,2355.7257525168,2246.2576478801,2740.2498664931,3386.0254776104,3709.0769144106,4674.2117101772,5433.706412432,5148.4113436394,6250.6544997915,7227.7708295564,7885.0612923021,8027.9781597011,7903.9257731165
Comoros,COM,602.274821239,577.2891244812,604.6333472042,581.5867023078,398.36636771,483.5462922565,467.5569374083,418.7347805098,414.0760238167,416.888371902,372.1890022621,391.957280988,428.7898389931,538.6976579663,609.6406980487,614.861327262,640.7429838089,712.1200098454,777.6777743653,754.9928243764,739.8977905762,790.5680955794,750.3146086005,796.7645735883,810.0757667622
Cabo Verde,CPV,899.2987881885,915.5546927308,996.339990257,1331.1258789016,1073.4434259168,1251.8090265423,1256.4931749866,1197.175871268,1242.9874930335,1379.0730931404,1229.0439439953,1258.5569393932,1363.593020455,1759.256354497,1970.891405592,2049.6156926513,2316.4794903215,3145.6538283985,3698.3153970863,3517.3867905754,3393.9274919038,3766.1116544232,3497.6911408698,3623.2224298143,3641.1076558658
Costa Rica,CRI,2391.3022180291,2255.4556514704,2631.9903096946,2884.8479983906,3081.8680296344,3338.8229789315,3292.7738978098,3483.5552272661,3743.1304359625,4104.3636887688,4062.3223078323,4104.1840831196,4145.5860931013,4245.6770205149,4441.4121595225,4700.014925845,5228.0254128651,6024.0784867792,6736.1678185015,6546.5655541988,7985.9510353273,8963.6800519918,9733.3969305402,10461.5768235623,10415.4443817218
Caribbean small states,CSS,2963.1615126414,2893.2558144359,2820.8085553217,2946.6069745697,3100.0704366047,3373.3072480915,3640.2272187555,4034.9558735894,4392.1036884835,4635.6060838792,4989.6383270853,5101.6449800659,5347.4687850504,5705.486737524,6232.6174947077,7021.1665418991,7841.5983738255,8667.5674832904,9822.3586524199,8208.604253613,8699.510835444,9373.2612198572,9586.9228936176,9932.5532463092,10165.3326281428
Cuba,CUB,2706.9754846477,2280.2483046496,2057.2206667943,2071.5108911083,2621.1357782993,2790.0700881216,2283.5646292979,2305.9278313732,2330.814109501,2559.9282198845,2749.4634915646,2841.1764832481,3003.2884678315,3201.2502722955,3398.6200123124,3786.8753292321,4677.7090142711,5193.4842857299,5385.7407270121,5494.9253114112,5688.6667321653,6092.6139017995,6448.1556351432,6789.8495974259,0
Curacao,CUW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
